Herb_id,Chinese_name,Pinyin_name,Latin_name,English_name,Properties_Chinese,Properties_English,Meridians_Chinese,Meridians_English,Function_Chinese,Function_English,UsePart,TCMID_id,TCM-ID_id,TCMSP_id,Link_herb_id,Alias,HERBDB_ID,Suppress
1,矮地茶,Aidicha,"Ardisiae Japonicae Herba,Ardisiae Japonicae",Japanese Ardisia Herb,"辛,微苦,平","Pungent,Slightly Bitter,Calm","肺,肝","Lung,Liver",止咳平喘药,Antitussive Antiasthmetics,,5072,2,1,,,HERB000036,0
2,艾叶,Aiye,"Folium Artemisiae Argyi,Artemisiae Argyi Folium",leaf of Argy Wormwood,"辛,苦,温,有小毒","Pungent,Bitter,Warm,Slightly Toxic","肝,脾,肾","Liver,Spleen,Kidney",温经止血药,Channel-Warming Hemostatic,leaf,6336,3,2,,,HERB000066,0
3,安息香,Anxixiang,Benzoinum,Benzoin,"辛,苦,平","Pungent,Bitter,Calm","心,脾","Heart,Spleen",开窍药,Resuscitative Stimulant; Resuscitative Medicinal,balsam,8019,6,3,,,HERB000090,0
4,八角茴香,Bajiaohuixiang,"Fructus Anisi Stellati,Anisi Stellati Fructus",Chinese Star Anise,"辛,温","Pungent,Warm","肝,肾,脾,胃","Liver,Kidney,Spleen,Stomach",温里药,Warming Interior Drugs,,6861,10,4,,,HERB000137,0
5,八角莲,Bajiaolian,,Dysosmae Verspiellis Rhixoma Et Radix,"苦,辛,温,有毒","Bitter,Pungent,Warm,Toxic","肺,肝","Lung,Liver",清热解毒药,Antipyretic Detoxicate Drugs,,,,5,,,HERB000139,0
6,巴豆,Badou,"Crotonis Fructus,Fructus Crotonis",Croton Fruit,"辛,热,有大毒","Pungent,Hot,Extremely Poisonous","胃,大肠","Stomach,Large Intestine",攻下药,Offensive Purgative Medicinal,dried seed,6980,7,6,,,HERB000129|HERB000709,0
7,巴戟天,Bajitian,Morindae Officinalis Radix,Morindae Officilis Radix,"甘,辛,微温","Sweet,Pungent,Slightly Warm","肾,肝","Kidney,Liver",补阳药,Yang Reinforcing Drugs,root,5210,,7,,,HERB000134,0
8,菝葜,Baqia,Smilacis Chinae Rhizoma,Smilax Chi,"甘,微苦,涩,平","Sweet,Slightly Bitter,Astringent,Calm","肝,肾","Liver,Kidney",祛风湿散寒药,Wind-Dampnessdispelling And Colddispersing Medicinal,,,,8,,,HERB000143,0
9,白扁豆,Baibiandou,"Semen Lablab Album,Lablab Semen Album",White Hyacinth Bean,"甘,微温","Sweet,Slightly Warm","脾,胃","Spleen,Stomach",补气药,Qi Reinforcing Drugs,,4133,13,9,,,HERB000161,0
10,白附子,Baifuzi,"Typhonii Rhizoma,Rhizoma Typhonii",rhizome of Giant Typhonium,"辛,温,有毒","Pungent,Warm,Toxic","胃,肝","Stomach,Liver",化痰药,Phlegresolving Medicine,,3152,19,10,,,HERB000182,0
11,白果,Baiguo,"Ginkgo Semen,Semen Ginkgo",Ginkgo seed,"甘,苦,涩,平,有毒","Sweet,Bitter,Astringent,Calm,Toxic","肺,肾","Lung,Kidney",止咳平喘药,Antitussive Antiasthmetics,nut,6286,20,11,,,HERB000186,0
12,白花菜子,Baihuacaizi,,Semen Cleomis,"苦,辛,微毒","Bitter,Pungent,Slightly Toxic",,,祛风湿散寒药,Wind-Dampnessdispelling And Colddispersing Medicinal,,,,12,,,HERB000197,0
13,白花蛇舌草,Baihuasheshecao,Herba Hedyotis Diffusae,all - grass of Spreading Hedyotis,"苦,甘,寒","Bitter,Sweet,Cold","心,肺,肝,大肠","Heart,Lung,Liver,Large Intestine",清热解毒药,Antipyretic Detoxicate Drugs,whole herb with root,5104,22,13,,,HERB000208,0
14,白及,Baiji,Bletillae Rhizoma,Bletilla Striata (Thunb.Ex A.Murray)Rchb.F.,"苦,甘,涩,微寒","Bitter,Sweet,Astringent,Slightly Cold","肺,肝,胃","Lung,Liver,Stomach",收敛止血药,Astringent Hemostatic Medicinal,,,,14,,,HERB000216,0
15,白蔹,Bailian,"Radix Ampelopsis,Ampelopsis Radix",root of Japanese Ampelopsis ,"苦,微寒","Bitter,Slightly Cold","心,胃","Heart,Stomach",清热解毒药,Antipyretic Detoxicate Drugs,tuberoid,2235,31,15,,,HERB000237,0
16,白毛藤,Baimaoteng,,Herba Solani Lyrati,"甘,苦,寒,小毒","Sweet,Bitter,Cold,Slightly Toxic","肝,胆,肾","Liver,Gallbladder,Kidney",清热解毒药,Antipyretic Detoxicate Drugs,,,,16,,,HERB000246,0
17,白毛夏枯草,Baimaoxiakucao,Herha Ajugae Ciliatae,all - grass of Decumbent Bugle,,,,,清热解毒药,Antipyretic Detoxicate Drugs,whole herb,7836,903,17,426,,HERB000247,1
18,白茅根,Baimaogen,"Rhizoma Imperatae,Imperatae Rhizoma",Lalang Grass Rhizome,"甘,寒","Sweet,Cold","肺,胃,膀胱","Lung,Stomach,Bladder",凉血止血药,Blood-Cooling Hemostatic Medicinal,,5468,902,18,,,HERB000242|HERB000243|HERB000244|HERB000245,0
19,白前,Baiqian,"Cynanchi Stauntonii Rhizoma Et Radix,Rhizoma Cynchi Stauntonii",Cynchum root,"辛,苦,微温","Pungent,Bitter,Slightly Warm",肺,Lung,化痰药,Phlegresolving Medicine,,5829,34,19,,,HERB000257,0
20,白屈菜,Baiqucai,Chelidonii Herba,Chelidonii Herba,"苦,凉,有毒","Bitter,Cool,Toxic","肺,胃","Lung,Stomach",止咳平喘药,Antitussive Antiasthmetics,whole herb,3337,,20,,,HERB000259,0
21,白芍,Baishao,"Radix Paeoniae Alba,Paeoniae Radix Alba",White peony root,"苦,酸,微寒","Bitter,Sour,Slightly Cold","肝,脾","Liver,Spleen",补血药,Blood-Tonifying Medicinal,root,8148,35,21,,,HERB000267,0
22,白术,Baizhu,"Atractylodis Macrocephalae Rhizoma,Rhizoma Atractylodis Macrocephalae",rhizome of Largehead Atractylodes,"苦,甘,温","Bitter,Sweet,Warm","脾,胃","Spleen,Stomach",补气药,Qi Reinforcing Drugs,root,5448,40,22,,,HERB000309,0
23,白头翁,Baitouweng,"Pulsatillae Radix,Radix Pulsatillae",Root of Chinese Pulsatilla,"苦,寒","Bitter,Cold","胃,大肠","Stomach,Large Intestine",清热解毒药,Antipyretic Detoxicate Drugs,root,5986,36,23,,,HERB000281,0
24,白薇,Baiwei,"Cynanchi Atrati Radix Et Rhizoma,Radix Cynchi Atrati",Blackend Swallowwort Root,"苦,咸,寒","Bitter,Salty,Cold","胃,肝,肾","Stomach,Liver,Kidney",清虚热药,Asthenic Heat Dispelling Drugs,root,2928,37,24,,,HERB000285,0
25,白鲜皮,Baixianpi,Dictamni Cortex,Dictamni Cortex,"苦,寒","Bitter,Cold","脾,胃,膀胱","Spleen,Stomach,Bladder",清热燥湿药,Heat-Clearing And Dampnessdrying Medicinal,,,,25,,,HERB000132|HERB000286,0
26,白药子,Baiyaozi,,Radix Stephaniae Cepharanthae.,"苦,辛,凉,小毒","Bitter,Pungent,Cool,Slightly Toxic","肺,胃","Lung,Stomach",清热解毒药,Antipyretic Detoxicate Drugs,tuberoid,3067,,26,,,HERB000293,0
27,白芷,Baizhi,"Radix Angelicae Dahuricae,Angelicae Dahuricae Radix",Dahurian Angelica Root,"辛,温","Pungent,Warm","胃,大肠,肺","Stomach,Large Intestine,Lung",辛温解表药,Pungent-Warm Exterior-Releasing Medicinal,root,5365,39,27,,,HERB000305,0
28,百部,Baibu,"Radix Stemoe,Stemonae Radix",Root of Japanese Stemo,"甘,苦,微温","Sweet,Bitter,Slightly Warm",肺,Lung,止咳平喘药,Antitussive Antiasthmetics,root,4286,14,28,,,HERB000162,0
29,百合,Baihe,"Bulbus Lilii ,Lilii Bulbus",Bulb of Greenish Lily,"甘,寒","Sweet,Cold","心,肺","Heart,Lung",补阴药,Yin-Tonifying Medicinal,bulb,4587,21,29,,,HERB000192,0
30,柏子仁,Baiziren,"Platycladi Semen,Semen Biotae",seed of Chinese Arborvitae,"甘,平","Sweet,Calm","心,肾,大肠","Heart,Kidney,Large Intestine",安神药,Tranguilizing Medicinal,kernel,1148,41,30,,,HERB000311,0
31,败酱草,Baijiangcao,Herba Patriniae,All - grass of Dahurian Patrinia,"苦,辛,凉","Bitter,Pungent,Cool","大肠,胃,肝","Large Intestine,Stomach,Liver",清热解毒药,Antipyretic Detoxicate Drugs,,7921,25,31,,,HERB000221,0
32,斑蝥,Banmao,Mylabris,Mylabris,"辛,热,有大毒","Pungent,Hot,Extremely Poisonous","肝,胃,肾","Liver,Stomach,Kidney",活血祛瘀药,Blood Activating Stasis Removing Drugs,,,,32,,,HERB000325,0
33,板蓝根,Banlangen,"Isatidis Radix,Radix Isatidis Seu Baphicacanthi",Root of Dyers Woad.,"苦,寒","Bitter,Cold","心,胃","Heart,Stomach",清热解毒药,Antipyretic Detoxicate Drugs,root,3849,42,33,,南板蓝根,HERB000323,0
34,半边莲,Banbianlian,"Lobeliae Chinensis Herba,Herba Lobeliae Chinensis",Chinese Lobelia Herb,"辛,平","Pungent,Calm","心,小肠,肺","Heart,Small Intestine,Lung",清热解毒药,Antipyretic Detoxicate Drugs,whole herb,4956,904,34,,,HERB000312,0
35,半夏,Banxia,"Rhizoma Pinelliae,Pinelliae Rhizoma",tuber of Pinellia,"辛,温,有毒","Pungent,Warm,Toxic","脾,胃,肺","Spleen,Stomach,Lung",化痰药,Phlegresolving Medicine,tuber,1680,43,35,,"姜半夏,清半夏",HERB000330,0
36,半枝莲,Banzhilian,"Herba Scutellariae Barbatae,Scutellariae Barbatae Herba",all - grass of Barbed Skullcap,"辛,苦,寒","Pungent,Bitter,Cold","肺,肝,肾","Lung,Liver,Kidney",清热解毒药,Antipyretic Detoxicate Drugs,whole herb,6957,45,36,,,HERB000338,0
37,薄荷,Bohe,"Menthae Haplocalycis Herba,Herba Menthae","Mentha, Peppermint","辛,凉","Pungent,Cool","肺,肝","Lung,Liver",辛凉解表药,Pungent Cool Diaphoretics,dried aerial parts,6950,65,37,,,HERB000508,0
38,北豆根,Beidougen,"Rhizoma Menispermi,Menispermi Rhizoma",Chinese Cinquefoil,"苦,寒,有小毒","Bitter,Cold,Slightly Toxic","肺,胃,大肠","Lung,Stomach,Large Intestine",清热解毒药,Antipyretic Detoxicate Drugs,,3169,906,38,,,HERB000373,0
39,北刘寄奴,Beiliujinu,Siphonostegiae Herba,Siphonostegiae Herba,"苦,寒","Bitter,Cold","脾,胃,肝,胆","Spleen,Stomach,Liver,Gallbladder",活血祛瘀药,Blood Activating Stasis Removing Drugs,,2469,,39,,,HERB000387,0
40,北沙参,Beishashen,"Radix Glehniae,Glehniae Radix",root of Coastal Glehnia,"甘,微苦,微寒","Sweet,Slightly Bitter,Slightly Cold","肺,胃","Lung,Stomach",补阴药,Yin-Tonifying Medicinal,root,1243,50,40,,,HERB000403,0
41,五味子,Wuweizi,Schisandrae Chinensis Fructus,Schisandrae Chinensis Fructus,"酸,甘,温","Sour,Sweet,Warm","肺,心,肾","Lung,Heart,Kidney",收涩药,Astringent Medicinal,,,,41,,,HERB005762,0
42,荜茇,Bibo,Piperis Longi Fructus,Piperis Longi Fructus,"辛,热","Pungent,Hot","胃,大肠","Stomach,Large Intestine",温里药,Warming Interior Drugs,,,,42,,,HERB000415,0
43,荜澄茄,Bichengqie,Litseae Fructus,Litseae Fructus,"辛,温","Pungent,Warm","脾,胃,肾,膀胱","Spleen,Stomach,Kidney,Bladder",温里药,Warming Interior Drugs,,,,43,,,HERB000418|HERB000483,0
44,蓖麻子,Bimazi,"Semen Ricini,Ricini Semen",Castor Seed,"甘,辛,平,有毒","Sweet,Pungent,Calm,Toxic","大肠,肺","Large Intestine,Lung",拔毒化腐生肌药,"External Medicinal (Draw Out Toxin, Resolve Putridity)",ripe seed,1524,54,44,,,HERB000432,0
45,萹蓄,Bianxu,Polygoni Avicularis Herba,all-grass of common knotgrass,"微寒,苦","Minor cold,Bitter",膀胱,Bladder,利水渗湿药,Diuretic Dampness Excreting Drugs,dried aerial parts,5931,60,45,,,HERB000472,0
46,扁豆花,Biandouhua,Flos Dolichoris,flower of Hyacinth Dolichos,"甘,平","Sweet,Calm",,,化湿药,Dampness Removing Drugs,,1305,58,46,,,HERB000453,0
47,槟榔,Binglang,"Arecae Semen,Semen Arecae",areca seed,"苦,辛,温","Bitter,Pungent,Warm","胃,大肠","Stomach,Large Intestine",驱虫药,Antiparasitic Drugs,seed,3803,62,47,,,HERB000497,0
48,冰片,Bingpian,Borneolum Syntheticum,Borneol,"微寒,辛,苦","Minor cold,Pungent,Bitter","肺,脾,心","Lung,Spleen,Heart",开窍药,Resuscitative Stimulant; Resuscitative Medicinal,resin,3633,63,48,,冰片（合成龙脑）,HERB000498,0
49,布渣叶,Buzhaye,Microctis Folium,Microctis Folium,"微酸,凉","Slightly Sour,Cool","脾,胃","Spleen,Stomach",拔毒化腐生肌药,"External Medicinal (Draw Out Toxin, Resolve Putridity)",,,,49,,,HERB000553,0
50,蚕沙,Cansha,,Bombyx Mori L.,"甘,辛,温","Sweet,Pungent,Warm","肝,脾,胃","Liver,Spleen,Stomach",祛风湿散寒药,Wind-Dampnessdispelling And Colddispersing Medicinal,,,,50,,,HERB000570,0
51,苍耳子,Cang'erzi,"Fructus Xanthii Sibirici,Xanthii Fructus",fruit of Siberian Cockleblur,"辛,苦,温,有毒","Pungent,Bitter,Warm,Toxic",肺,Lung,辛温解表药,Pungent-Warm Exterior-Releasing Medicinal,,6130,70,51,,,HERB000580,0
52,苍术,Cangzhu,"Atractylodis Rhizoma,Rhizoma Atractylodis",Rhizome of Swordlike Atractylodes,"辛,苦,温","Pungent,Bitter,Warm","脾,胃,肝","Spleen,Stomach,Liver",化湿药,Dampness Removing Drugs,rhizome,7584,71,52,,,HERB000584,0
53,草苁蓉,Caocongrong,,Boschniakia Rossica Herba,"甘,咸,温","Sweet,Salty,Warm",,,补阳药,Yang Reinforcing Drugs,,,,53,,,HERB000588,0
54,草果,Caoguo,"Tsaoko Fructus,Fructus Tsaoko",Tsaoko,"辛,温","Pungent,Warm","脾,胃","Spleen,Stomach",化湿药,Dampness Removing Drugs,,2416,74,54,,,HERB000594,0
55,草乌,Caowu,"Radix Aconiti Kusnezoffii,Aconiti Kusnezoffii Radix",Kusnezoff Monkshood Root,"辛,苦,热,有大毒","Pungent,Bitter,Hot,Extremely Poisonous","心,肝,肾,脾","Heart,Liver,Kidney,Spleen",祛风湿散寒药,Wind-Dampnessdispelling And Colddispersing Medicinal,,2582,77,55,,,HERB000604,0
56,草乌叶,Caowuye,"Aconiti Kusnezoffii Folium,Folium Aconiti Kusnezoffii",Kusnezoff Monkshood Leaf,"辛,涩,平,有小毒","Pungent,Astringent,Calm,Slightly Toxic",,,清热解毒药,Antipyretic Detoxicate Drugs,,4090,909,56,,,HERB000607,0
57,侧柏叶,Cebaiye,"Platycladi Cacumen,Cacumen Et Folium Biotae",leafy twigs of Oriental Arborvitae,"苦,涩,寒","Bitter,Astringent,Cold","肺,肝,脾","Lung,Liver,Spleen",凉血止血药,Blood-Cooling Hemostatic Medicinal,leaf,7441,78,57,,,HERB000614,0
58,柴胡,Chaihu,"Radix Bupleuri,Bupleuri Radix",root of Chinese Thorowax,"辛,苦,微寒","Pungent,Bitter,Slightly Cold","肝,胆,肺","Liver,Gallbladder,Lung",辛凉解表药,Pungent Cool Diaphoretics,root,4062,80,58,,,HERB000638,0
59,蝉蜕,Chantui,"Periostracum Cicadae,Cicadae Periostracum",Cicada Slough,"甘,寒","Sweet,Cold","肺,肝","Lung,Liver",辛凉解表药,Pungent Cool Diaphoretics,,4463,82,59,,,HERB000571|HERB000651,0
60,常山,Changshan,"Radix Dichroae,Dichroae Radix",root of antifebrile Dichroa,"苦,辛,寒,有毒","Bitter,Pungent,Cold,Toxic","肺,肝,心","Lung,Liver,Heart",涌吐药,Emetic Medicinal,root,5572,84,60,,,HERB000706,0
