Herb_id,Field_name,Field_context
1,Chinese_name,矮地茶
1,Pinyin_name,Aidicha
1,Latin_name,"Ardisiae Japonicae Herba,Ardisiae Japonicae"
1,English_name,Japanese Ardisia Herb
2,Chinese_name,艾叶
2,Pinyin_name,Aiye
2,Latin_name,"Folium Artemisiae Argyi,Artemisiae Argyi Folium"
2,English_name,leaf of Argy Wormwood
3,Chinese_name,安息香
3,Pinyin_name,Anxixiang
3,Latin_name,Benzoinum
3,English_name,Benzoin
4,Chinese_name,八角茴香
4,Pinyin_name,Bajiaohuixiang
4,Latin_name,"Fructus Anisi Stellati,Anisi Stellati Fructus"
4,English_name,Chinese Star Anise
5,Chinese_name,八角莲
5,Pinyin_name,Bajiaolian
5,English_name,Dysosmae Verspiellis Rhixoma Et Radix
6,Chinese_name,巴豆
6,Pinyin_name,Badou
6,Latin_name,"Crotonis Fructus,Fructus Crotonis"
6,English_name,Croton Fruit
7,Chinese_name,巴戟天
7,Pinyin_name,Bajitian
7,Latin_name,Morindae Officinalis Radix
7,English_name,Morindae Officilis Radix
8,Chinese_name,菝葜
8,Pinyin_name,Baqia
8,Latin_name,Smilacis Chinae Rhizoma
8,English_name,Smilax Chi
9,Chinese_name,白扁豆
9,Pinyin_name,Baibiandou
9,Latin_name,"Semen Lablab Album,Lablab Semen Album"
9,English_name,White Hyacinth Bean
10,Chinese_name,白附子
10,Pinyin_name,Baifuzi
10,Latin_name,"Typhonii Rhizoma,Rhizoma Typhonii"
10,English_name,rhizome of Giant Typhonium
11,Chinese_name,白果
11,Pinyin_name,Baiguo
11,Latin_name,"Ginkgo Semen,Semen Ginkgo"
11,English_name,Ginkgo seed
12,Chinese_name,白花菜子
12,Pinyin_name,Baihuacaizi
12,English_name,Semen Cleomis
13,Chinese_name,白花蛇舌草
13,Pinyin_name,Baihuasheshecao
13,Latin_name,Herba Hedyotis Diffusae
13,English_name,all - grass of Spreading Hedyotis
14,Chinese_name,白及
14,Pinyin_name,Baiji
14,Latin_name,Bletillae Rhizoma
14,English_name,Bletilla Striata (Thunb.Ex A.Murray)Rchb.F.
15,Chinese_name,白蔹
15,Pinyin_name,Bailian
15,Latin_name,"Radix Ampelopsis,Ampelopsis Radix"
15,English_name,root of Japanese Ampelopsis 
16,Chinese_name,白毛藤
16,Pinyin_name,Baimaoteng
16,English_name,Herba Solani Lyrati
17,Chinese_name,白毛夏枯草
17,Pinyin_name,Baimaoxiakucao
17,Latin_name,Herha Ajugae Ciliatae
17,English_name,all - grass of Decumbent Bugle
18,Chinese_name,白茅根
18,Pinyin_name,Baimaogen
18,Latin_name,"Rhizoma Imperatae,Imperatae Rhizoma"
18,English_name,Lalang Grass Rhizome
19,Chinese_name,白前
19,Pinyin_name,Baiqian
19,Latin_name,"Cynanchi Stauntonii Rhizoma Et Radix,Rhizoma Cynchi Stauntonii"
19,English_name,Cynchum root
20,Chinese_name,白屈菜
20,Pinyin_name,Baiqucai
20,Latin_name,Chelidonii Herba
20,English_name,Chelidonii Herba
21,Chinese_name,白芍
21,Pinyin_name,Baishao
21,Latin_name,"Radix Paeoniae Alba,Paeoniae Radix Alba"
21,English_name,White peony root
22,Chinese_name,白术
22,Pinyin_name,Baizhu
22,Latin_name,"Atractylodis Macrocephalae Rhizoma,Rhizoma Atractylodis Macrocephalae"
22,English_name,rhizome of Largehead Atractylodes
23,Chinese_name,白头翁
23,Pinyin_name,Baitouweng
23,Latin_name,"Pulsatillae Radix,Radix Pulsatillae"
23,English_name,Root of Chinese Pulsatilla
24,Chinese_name,白薇
24,Pinyin_name,Baiwei
24,Latin_name,"Cynanchi Atrati Radix Et Rhizoma,Radix Cynchi Atrati"
24,English_name,Blackend Swallowwort Root
25,Chinese_name,白鲜皮
25,Pinyin_name,Baixianpi
25,Latin_name,Dictamni Cortex
25,English_name,Dictamni Cortex
26,Chinese_name,白药子
26,Pinyin_name,Baiyaozi
26,English_name,Radix Stephaniae Cepharanthae.
27,Chinese_name,白芷
27,Pinyin_name,Baizhi
27,Latin_name,"Radix Angelicae Dahuricae,Angelicae Dahuricae Radix"
27,English_name,Dahurian Angelica Root
28,Chinese_name,百部
28,Pinyin_name,Baibu
28,Latin_name,"Radix Stemoe,Stemonae Radix"
28,English_name,Root of Japanese Stemo
29,Chinese_name,百合
29,Pinyin_name,Baihe
29,Latin_name,"Bulbus Lilii ,Lilii Bulbus"
29,English_name,Bulb of Greenish Lily
30,Chinese_name,柏子仁
30,Pinyin_name,Baiziren
30,Latin_name,"Platycladi Semen,Semen Biotae"
30,English_name,seed of Chinese Arborvitae
31,Chinese_name,败酱草
31,Pinyin_name,Baijiangcao
31,Latin_name,Herba Patriniae
31,English_name,All - grass of Dahurian Patrinia
32,Chinese_name,斑蝥
32,Pinyin_name,Banmao
32,Latin_name,Mylabris
32,English_name,Mylabris
33,Chinese_name,板蓝根
33,Pinyin_name,Banlangen
33,Latin_name,"Isatidis Radix,Radix Isatidis Seu Baphicacanthi"
33,English_name,Root of Dyers Woad.
34,Chinese_name,半边莲
34,Pinyin_name,Banbianlian
34,Latin_name,"Lobeliae Chinensis Herba,Herba Lobeliae Chinensis"
34,English_name,Chinese Lobelia Herb
35,Chinese_name,半夏
35,Pinyin_name,Banxia
35,Latin_name,"Rhizoma Pinelliae,Pinelliae Rhizoma"
35,English_name,tuber of Pinellia
36,Chinese_name,半枝莲
36,Pinyin_name,Banzhilian
36,Latin_name,"Herba Scutellariae Barbatae,Scutellariae Barbatae Herba"
36,English_name,all - grass of Barbed Skullcap
37,Chinese_name,薄荷
37,Pinyin_name,Bohe
37,Latin_name,"Menthae Haplocalycis Herba,Herba Menthae"
37,English_name,"Mentha, Peppermint"
38,Chinese_name,北豆根
38,Pinyin_name,Beidougen
38,Latin_name,"Rhizoma Menispermi,Menispermi Rhizoma"
38,English_name,Chinese Cinquefoil
39,Chinese_name,北刘寄奴
39,Pinyin_name,Beiliujinu
39,Latin_name,Siphonostegiae Herba
39,English_name,Siphonostegiae Herba
40,Chinese_name,北沙参
40,Pinyin_name,Beishashen
40,Latin_name,"Radix Glehniae,Glehniae Radix"
40,English_name,root of Coastal Glehnia
41,Chinese_name,五味子
41,Pinyin_name,Wuweizi
41,Latin_name,Schisandrae Chinensis Fructus
41,English_name,Schisandrae Chinensis Fructus
42,Chinese_name,荜茇
42,Pinyin_name,Bibo
42,Latin_name,Piperis Longi Fructus
42,English_name,Piperis Longi Fructus
43,Chinese_name,荜澄茄
43,Pinyin_name,Bichengqie
